# label | correct answer | distractor 1 | distractor 2 | distractor 3 | explanation
The process of assigning a standard scientific name|Nomenclature|Identification|Respiration|Succession|Nomenclature supplies standard names so regional common names do not cause confusion.
Determining which known organism a specimen represents|Identification|Nomenclature alone|Hybridisation|Mutation|Identification establishes the identity of a specimen by comparing its characters with known organisms.
Grouping organisms using shared characters|Classification|Fermentation|Excretion|Transpiration|Classification organises diversity into groups that can be studied and compared.
The study that explicitly incorporates evolutionary relationships into organismal diversity|Systematics|Histology alone|Anatomy alone|Physiology alone|Systematics considers diversity together with relationships, including common ancestry.
The Latin root of the term systematics|Systema|Species|Herbarius|Animalia|Systema refers to systematic arrangement and is the root of systematics.
The author of Systema Naturae|Carolus Linnaeus|Charles Darwin|Gregor Mendel|Robert Hooke|Linnaeus used Systema Naturae as the title of his systematic work.
The scientist associated with popularising binomial nomenclature|Carolus Linnaeus|R. H. Whittaker|Louis Pasteur|Alexander Fleming|Linnaeus established the widely adopted two-part naming convention.
The number of principal components in a binomial|Two|One|Three|Four|A binomial contains the generic name and the specific epithet; an author citation is additional.
The first component of Panthera leo|Generic name|Specific epithet|Family name|Order name|Panthera is the genus and leo is the specific epithet.
The second component of Homo sapiens|Specific epithet|Generic name|Class name|Phylum name|Sapiens is the epithet; Homo sapiens together identifies the species.
The appropriate initial letter for a generic name|Uppercase|Lowercase in every case|Always a numeral|Always a Greek letter|A generic name begins with a capital letter.
The appropriate initial letter for a specific epithet|Lowercase|Uppercase in every case|Always a numeral|Always a symbol|The specific epithet starts with a small letter even when the genus is capitalised.
The conventional typeface for a printed binomial|Italics|Bold capitals only|Superscript|Strikethrough|Printed generic names and specific epithets are conventionally italicised.
The treatment of the two words of a handwritten binomial|Underline each word separately|Underline the genus only|Underline the epithet only|Join both words without a space|Separate underlining substitutes for italics in handwritten scientific names.
The language form generally used for scientific biological names|Latin or Latinised|English only|Sanskrit only|French only|Names follow Latin form even when derived from another language.
The role of Linn. in Mangifera indica Linn.|Author citation|Third part of a trinomial|Variety name|Family abbreviation|Linn. credits Linnaeus as the describing author rather than adding a species-name component.
The usual position of an author citation|After the specific epithet|Before the genus|Between genus and epithet|Inside the genus word|The author's abbreviated name follows the binomial.
The code concerned with animal nomenclature|ICZN|ICBN|IUCN Red List|Botanical garden register|The International Code of Zoological Nomenclature governs zoological names.
The code abbreviation used by the NCERT chapter for botanical nomenclature|ICBN|ICZN|WHO|UNESCO|The chapter uses ICBN for botanical naming rules; this question asks specifically for the textbook abbreviation.
The main reason common names are unreliable for global scientific communication|They vary across languages and regions|They always indicate ancestry|They are always unique worldwide|They contain chromosome counts|The same organism may have different common names in different places.
The taxonomic rank represented by a group of related genera|Family|Species|Class|Kingdom|A family brings together related genera and is above genus.
The taxonomic rank represented by a group of related families|Order|Genus|Species|Phylum|Related families are grouped into orders.
The taxonomic rank represented by a group of related orders|Class|Family|Genus|Species|A class contains related orders.
The taxonomic rank represented by a group of related animal classes|Phylum|Order|Genus|Family|Animal classes with broad shared features are placed in a phylum.
The plant rank conventionally equivalent to phylum|Division|Genus|Family|Order|Division is the botanical term traditionally used at the phylum level.
The highest rank in the seven-rank hierarchy used in this chapter|Kingdom|Phylum|Class|Family|Among species, genus, family, order, class, phylum and kingdom, kingdom is the broadest.
The rank immediately below family|Genus|Order|Class|Phylum|The descending sequence is order, family, genus, species.
The rank immediately below order|Family|Class|Species|Kingdom|Families are contained within orders.
The rank immediately below class|Order|Phylum|Genus|Division|Orders subdivide a class.
The rank immediately below kingdom in the conventional animal hierarchy|Phylum|Class|Family|Species|A kingdom contains phyla, which in turn contain classes.
The collective arrangement of successive taxonomic ranks|Taxonomic hierarchy|Food web|Cell cycle|Ecological succession|The hierarchy orders categories from species to kingdom.
The plural of taxon|Taxa|Taxons only|Taxonomies|Taxids|Taxa is the standard plural form of taxon.
The distinction between Mammalia and class|Mammalia is a taxon at the rank of class|Mammalia is a genus and class is a species|Both are scientific species names|Class is a specimen and Mammalia is an organ|Class names the rank; Mammalia names one biological group occupying it.
The general change in shared characters when moving from species to kingdom|They decrease|They invariably increase|They become identical at every rank|They become chromosome numbers only|Broader categories include more diverse organisms and therefore fewer common characters.
The general change in inclusiveness when moving from kingdom to species|It decreases|It increases|It stays unchanged|It becomes independent of membership|Lower ranks contain narrower sets of organisms.
The lowest common rank necessarily shared by two species in the same genus|Genus|Species|Family only|Kingdom only|Different congeneric species share genus and all higher ranks but not species.
The most specific rank necessarily shared by two genera in the same family|Family|Species|Genus|Order only|Distinct genera can share a family without belonging to the same genus.
The inference justified when two organisms belong to different families of one order|They share that order and its higher ranks|They must share a genus|They must be one species|They cannot share a class|Membership of one order implies membership of its class, phylum and kingdom.
The inference justified by membership of the same species|The organisms also share genus and family|The organisms must have different genera|The organisms must have different families|No higher category can be inferred|In a consistent hierarchy, members of a species share all its higher categories.
The inference not justified by membership of one family|The organisms must belong to the same species|The organisms share an order|The organisms share a class|The organisms share a kingdom|A family may contain many genera and many species.
The genus of humans|Homo|Panthera|Musca|Mangifera|The human binomial is Homo sapiens.
The family of humans in the chapter's classification table|Hominidae|Felidae|Muscidae|Poaceae|Homo is placed in Hominidae.
The order of humans in the chapter's classification table|Primata|Carnivora|Diptera|Poales|The table uses Primata for the human order, commonly called Primates.
The class of humans|Mammalia|Insecta|Aves|Reptilia|Humans are mammals and belong to Mammalia.
The phylum of humans|Chordata|Arthropoda|Mollusca|Annelida|Humans are vertebrate chordates.
The scientific name of the housefly|Musca domestica|Homo sapiens|Mangifera indica|Triticum aestivum|The familiar housefly is identified by the binomial Musca domestica.
The genus of the housefly|Musca|Muscidae|Diptera|Insecta|Musca is the generic component of Musca domestica.
The family of the housefly|Muscidae|Hominidae|Felidae|Solanaceae|Musca is grouped within Muscidae.
The order of the housefly|Diptera|Primata|Carnivora|Rosales|Houseflies belong to the two-winged insect order Diptera.
The class of the housefly|Insecta|Mammalia|Amphibia|Aves|The housefly is an insect, not a vertebrate.
The phylum of the housefly|Arthropoda|Chordata|Porifera|Cnidaria|Insects are arthropods with jointed appendages and an exoskeleton.
